Query-ID	Query-Label	Lookup-ID	Lookup-Label	Embedding distance	Nearest-Neighbor-Idx
A0MZ67	Cell.membrane	Q5JTW2	Cytoplasm	0.7350	3
A1EGX6	Cell.membrane	Q13428	Nucleus	1.4951	1
A1EGX6	Cell.membrane	Q5JY77	Cytoplasm	1.5358	2
A1EGX6	Cell.membrane	Q9CWU5	Cytoplasm	1.5709	3
A1ZAG4	Endoplasmic.reticulum	Q8LLD0	Nucleus	1.0420	1
A1ZAG4	Endoplasmic.reticulum	Q8STE5	Cytoplasm	1.0507	2
A1ZAG4	Endoplasmic.reticulum	Q09798	Cytoplasm	1.0553	3
A2A288	Cytoplasm	Q9CW46	Cytoplasm	0.8438	1
A2A288	Cytoplasm	A1L020	Cytoplasm	0.8541	2
A2A288	Cytoplasm	Q16584	Cytoplasm	0.8595	3
A2ALV5	Nucleus	Q3V089	Cytoplasm	0.9341	1
A2ALV5	Nucleus	Q5W0Q7	Nucleus	0.9961	2
A2ALV5	Nucleus	Q9BXU7	Nucleus	0.9986	3
A2RVJ8	Nucleus	Q3TTP0	Cytoplasm	0.8991	1
A2RVJ8	Nucleus	P26358	Nucleus	0.9545	2
A2RVJ8	Nucleus	Q93VM9	Nucleus	0.9550	3
A4GRC6	Cell.membrane	A8J6X7	Cytoplasm	1.3474	1
A4GRC6	Cell.membrane	P91682	Cell.membrane	1.3675	2
A4GRC6	Cell.membrane	A8J666	Cytoplasm	1.3883	3
A5D8W1	Cell.membrane	Q5JTW2	Cytoplasm	0.5968	1
A5D8W1	Cell.membrane	Q6NUP7	Cytoplasm	0.6433	2
A5D8W1	Cell.membrane	Q3HNM7	Cytoplasm	0.6629	3
A6NHR9	Nucleus	Q38SD2	Cytoplasm	0.8336	1
A6NHR9	Nucleus	O15033	Cytoplasm	0.8895	2
A6NHR9	Nucleus	O14727	Cytoplasm	0.9215	3
A8DMN5	Endoplasmic.reticulum	Q9NS37	Nucleus	1.1900	1
A8DMN5	Endoplasmic.reticulum	Q9XII1	Plastid	1.2536	2
A8DMN5	Endoplasmic.reticulum	O81851	Nucleus	1.2572	3
A8E5V9	Endoplasmic.reticulum	Q9BW66	Nucleus	0.6682	1
A8E5V9	Endoplasmic.reticulum	Q8GYM3	Cytoplasm	0.6869	2
A8E5V9	Endoplasmic.reticulum	Q642F4	Endoplasmic.reticulum	0.7131	3
A8MT69	Nucleus	Q16514	Nucleus	1.0856	1
A8MT69	Nucleus	Q9VJQ5	Nucleus	1.1166	2
A8MT69	Nucleus	Q92317	Nucleus	1.1393	3
A9JX75	Extracellular	D0EXD3	Extracellular	1.0751	1
A9JX75	Extracellular	P81790	Extracellular	1.1770	2
A9JX75	Extracellular	Q6T6C2	Extracellular	1.3001	3
B3GS44	Cell.membrane	Q9LZH5	Cell.membrane	0.9556	1
B3GS44	Cell.membrane	O04529	Cell.membrane	1.0441	2
B3GS44	Cell.membrane	Q9ZUJ5	Cell.membrane	1.0511	3
B3STP1	Cytoplasm	Q20930	Extracellular	0.9847	1
B3STP1	Cytoplasm	P86954	Extracellular	1.0547	2
B3STP1	Cytoplasm	H2A0L2	Extracellular	1.0753	3
B4FSG1	Plastid	Q39089	Plastid	0.7488	1
B4FSG1	Plastid	Q84WN0	Plastid	0.7615	2
B4FSG1	Plastid	O82258	Plastid	0.7990	3
B6KEU8	Cytoplasm	P53956	Endoplasmic.reticulum	1.1515	1
B6KEU8	Cytoplasm	Q9UTN7	Endoplasmic.reticulum	1.1658	2
B6KEU8	Cytoplasm	O14323	Cytoplasm	1.1856	3
B9EJ80	Endoplasmic.reticulum	Q5JTW2	Cytoplasm	0.7246	1
B9EJ80	Endoplasmic.reticulum	Q9UPZ3	Cytoplasm	0.7286	2
B9EJ80	Endoplasmic.reticulum	Q4JIM5	Cytoplasm	0.7322	3
B9U3F2	Endoplasmic.reticulum	Q6QNK2	Cell.membrane	0.7541	1
B9U3F2	Endoplasmic.reticulum	Q96NR3	Cell.membrane	0.7579	2
B9U3F2	Endoplasmic.reticulum	P69744	Cell.membrane	0.7812	3
C0HLG4	Extracellular	Q4VP10	Extracellular	1.1296	1
C0HLG4	Extracellular	Q4VP08	Extracellular	1.1441	2
C0HLG4	Extracellular	P0CAY6	Extracellular	1.1454	3
C6KRL6	Nucleus	Q9VVR2	Cytoplasm	1.1677	1
C6KRL6	Nucleus	O42709	Nucleus	1.1785	2
C6KRL6	Nucleus	U4PR86	Cytoplasm	1.1827	3
D0MXE4	Extracellular	P58806	Extracellular	1.7269	1
D0MXE4	Extracellular	P91793	Extracellular	1.8029	2
D0MXE4	Extracellular	P81602	Extracellular	1.8082	3
D0N0F2	Extracellular	P58806	Extracellular	1.7340	1
D0N0F2	Extracellular	P91793	Extracellular	1.7990	2
D0N0F2	Extracellular	Q9VMR8	Extracellular	1.8031	3
D0N4E0	Extracellular	P58806	Extracellular	1.6119	1
D0N4E0	Extracellular	Q9VMR8	Extracellular	1.6774	2
D0N4E0	Extracellular	Q8IN42	Extracellular	1.7184	3
D0N6D2	Extracellular	P58806	Extracellular	1.7224	1
D0N6D2	Extracellular	P91793	Extracellular	1.8026	2
D0N6D2	Extracellular	P81602	Extracellular	1.8095	3
D0NBE6	Extracellular	Q38906	Plastid	1.5909	1
D0NBE6	Extracellular	P53219	Mitochondrion	1.6042	2
D0NBE6	Extracellular	Q3SXM5	Mitochondrion	1.6061	3
D0NBV1	Extracellular	Q8MVB6	Extracellular	0.7795	1
D0NBV1	Extracellular	Q98967	Extracellular	0.9938	2
D0NBV1	Extracellular	P28325	Extracellular	1.0119	3
D0NFU7	Extracellular	P58806	Extracellular	1.7683	1
D0NFU7	Extracellular	O13752	Endoplasmic.reticulum	1.7697	2
D0NFU7	Extracellular	Q9VMR8	Extracellular	1.7727	3
D0NP20	Extracellular	Q38906	Plastid	1.5424	1
D0NP20	Extracellular	Q9C9Q6	Golgi.apparatus	1.5512	2
D0NP20	Extracellular	O23680	Plastid	1.5620	3
D0NRP3	Extracellular	Q8W4J9	Cell.membrane	1.6011	1
D0NRP3	Extracellular	Q9NX02	Cytoplasm	1.6102	2
D0NRP3	Extracellular	O82380	Plastid	1.6115	3
D0NVB5	Extracellular	P53219	Mitochondrion	1.6621	1
D0NVB5	Extracellular	Q9VMR8	Extracellular	1.6668	2
D0NVB5	Extracellular	Q38906	Plastid	1.6722	3
D0P1A8	Extracellular	P58806	Extracellular	1.5972	1
D0P1A8	Extracellular	Q8IN42	Extracellular	1.7969	2
D0P1A8	Extracellular	Q9VMR8	Extracellular	1.7987	3
D3JZP7	Extracellular	Q966V2	Extracellular	1.5871	1
D3JZP7	Extracellular	B3A0P5	Extracellular	1.6441	2
D3JZP7	Extracellular	Q8MPP3	Cell.membrane	1.6542	3
D3YT16	Cytoplasm	Q9H5J8	Nucleus	1.0860	1
D3YT16	Cytoplasm	O14323	Cytoplasm	1.1519	2
D3YT16	Cytoplasm	O94435	Cytoplasm	1.1522	3
D3ZQL7	Cytoplasm	Q9BPX6	Mitochondrion	0.9667	1
D3ZQL7	Cytoplasm	Q9Y5P8	Nucleus	0.9913	2
D3ZQL7	Cytoplasm	P51432	Nucleus	1.0037	3
D3ZWJ9	Cytoplasm	Q76MJ5	Endoplasmic.reticulum	0.7934	1
D3ZWJ9	Cytoplasm	Q0VG06	Nucleus	0.8072	2
D3ZWJ9	Cytoplasm	Q9NRG9	Nucleus	0.8262	3
D4ABW7	Cell.membrane	Q9VYX7	Extracellular	0.9541	1
D4ABW7	Cell.membrane	Q765P4	Extracellular	0.9619	2
D4ABW7	Cell.membrane	Q765P3	Extracellular	1.0060	3
E0W544	Extracellular	Q1ELU7	Extracellular	1.8337	1
E0W544	Extracellular	Q1ELU8	Extracellular	1.8393	2
E0W544	Extracellular	P58806	Extracellular	1.8738	3
E2DWQ7	Extracellular	P58806	Extracellular	1.7112	1
E2DWQ7	Extracellular	P91793	Extracellular	1.7600	2
E2DWQ7	Extracellular	P81602	Extracellular	1.7672	3
E9PYL2	Nucleus	Q9HCH0	Cytoplasm	0.7769	1
E9PYL2	Nucleus	O15047	Nucleus	0.7773	2
E9PYL2	Nucleus	Q9UPS6	Nucleus	0.7839	3
E9Q9F6	Cell.membrane	Q5H9S7	Nucleus	0.8621	1
E9Q9F6	Cell.membrane	O75339	Extracellular	0.9751	2
E9Q9F6	Cell.membrane	Q9H8H0	Nucleus	0.9848	3
E9QDC5	Cell.membrane	Q9VJ83	Cell.membrane	1.0216	1
E9QDC5	Cell.membrane	Q09969	Mitochondrion	1.0321	2
E9QDC5	Cell.membrane	P40451	Lysosome/Vacuole	1.0556	3
F1PZQ5	Cell.membrane	Q86VQ0	Cytoplasm	0.9343	1
F1PZQ5	Cell.membrane	Q49A88	Cytoplasm	0.9476	2
F1PZQ5	Cell.membrane	Q9P0W8	Cytoplasm	0.9597	3
F4HVZ5	Nucleus	O48713	Nucleus	0.8762	1
F4HVZ5	Nucleus	P38326	Nucleus	0.9286	2
F4HVZ5	Nucleus	Q9LFE0	Nucleus	0.9900	3
F4JUQ2	Cytoplasm	Q0WLC6	Plastid	0.8804	1
F4JUQ2	Cytoplasm	Q9SYX2	Nucleus	0.9018	2
F4JUQ2	Cytoplasm	Q9T014	Nucleus	0.9438	3
F4KCE9	Nucleus	Q4QSC8	Nucleus	1.0165	1
F4KCE9	Nucleus	Q8H1D4	Nucleus	1.2760	2
F4KCE9	Nucleus	Q45GQ7	Cytoplasm	1.2920	3
F8J4S0	Extracellular	Q1ELT9	Extracellular	1.0126	1
F8J4S0	Extracellular	P61103	Extracellular	1.0898	2
F8J4S0	Extracellular	Q2PAY4	Extracellular	1.0905	3
G2X4M1	Extracellular	Q04432	Cytoplasm	0.8506	1
G2X4M1	Extracellular	Q9P940	Cytoplasm	0.8918	2
G2X4M1	Extracellular	O16228	Cytoplasm	0.9117	3
G3V8Y7	Golgi.apparatus	Q9P209	Cytoplasm	0.8637	1
G3V8Y7	Golgi.apparatus	Q8TE67	Cytoplasm	0.9152	2
G3V8Y7	Golgi.apparatus	O94941	Nucleus	0.9325	3
G4MMH2	Extracellular	O94220	Extracellular	0.7190	1
G4MMH2	Extracellular	Q76HP6	Extracellular	0.8485	2
G4MMH2	Extracellular	A8W7I5	Extracellular	0.8790	3
G4YEI5	Extracellular	O94347	Cytoplasm	0.9197	1
G4YEI5	Extracellular	O94437	Mitochondrion	0.9650	2
G4YEI5	Extracellular	O04862	Mitochondrion	0.9664	3
G4YRX5	Extracellular	P58806	Extracellular	1.7961	1
G4YRX5	Extracellular	Q9VMR8	Extracellular	1.8187	2
G4YRX5	Extracellular	D2Y233	Extracellular	1.8287	3
G4ZHR2	Extracellular	B3VSG7	Extracellular	0.7746	1
G4ZHR2	Extracellular	Q96TR7	Extracellular	0.7991	2
G4ZHR2	Extracellular	Q96W72	Extracellular	0.8086	3
G5A8M1	Extracellular	P53219	Mitochondrion	1.7036	1
G5A8M1	Extracellular	P58806	Extracellular	1.7042	2
G5A8M1	Extracellular	Q9VMR8	Extracellular	1.7100	3
G5EBL3	Nucleus	Q9NU22	Nucleus	1.9905	1
G5EBL3	Nucleus	O13290	Cytoplasm	2.0563	2
G5EBL3	Nucleus	Q9P7T1	Cytoplasm	2.1202	3
G5EC37	Cytoplasm	Q9VCU7	Cytoplasm	1.0642	1
G5EC37	Cytoplasm	Q9UID6	Nucleus	1.0879	2
G5EC37	Cytoplasm	O16844	Cytoplasm	1.0927	3
G5ED35	Extracellular	P86728	Extracellular	0.9957	1
G5ED35	Extracellular	A2VBC4	Extracellular	1.0158	2
G5ED35	Extracellular	P0CH47	Extracellular	1.0197	3
G5EDZ2	Cytoplasm	Q4LB35	Cytoplasm	0.7532	1
G5EDZ2	Cytoplasm	Q8TGA0	Cytoplasm	0.7625	2
G5EDZ2	Cytoplasm	P25379	Mitochondrion	0.7729	3
G5EEC2	Extracellular	B5LUQ9	Extracellular	1.2325	1
G5EEC2	Extracellular	Q9GQV7	Extracellular	1.2575	2
G5EEC2	Extracellular	B5LUR1	Extracellular	1.4159	3
G5EFJ4	Nucleus	Q06156	Nucleus	0.7514	1
G5EFJ4	Nucleus	Q04264	Nucleus	0.7527	2
G5EFJ4	Nucleus	Q19555	Nucleus	0.8413	3
G5EG86	Nucleus	P32644	Cytoplasm	0.9861	1
G5EG86	Nucleus	Q9VCU7	Cytoplasm	1.0170	2
G5EG86	Nucleus	Q9GT24	Cytoplasm	1.0683	3
G5EGE9	Nucleus	P34341	Nucleus	0.7214	1
G5EGE9	Nucleus	P30776	Nucleus	1.2313	2
G5EGE9	Nucleus	Q9XUB3	Nucleus	1.2334	3
G5EHH0	Extracellular	D0EXD3	Extracellular	1.0224	1
G5EHH0	Extracellular	B3FIN4	Extracellular	1.0836	2
G5EHH0	Extracellular	P81790	Extracellular	1.1391	3
G5EHI7	Extracellular	Q8IN41	Extracellular	1.2345	1
G5EHI7	Extracellular	P43598	Cytoplasm	1.2608	2
G5EHI7	Extracellular	P58806	Extracellular	1.2739	3
G5EI08	Extracellular	Q5A0X8	Extracellular	1.1633	1
G5EI08	Extracellular	D4B0F8	Extracellular	1.2598	2
G5EI08	Extracellular	D4AM57	Extracellular	1.2660	3
G5EI17	Extracellular	Q8MMH5	Extracellular	1.1562	1
G5EI17	Extracellular	A6YR20	Extracellular	1.2653	2
G5EI17	Extracellular	A6YR21	Extracellular	1.2693	3
G5EI20	Extracellular	D0EXD3	Extracellular	1.0404	1
G5EI20	Extracellular	Q6T6C2	Extracellular	1.2429	2
G5EI20	Extracellular	P01493	Extracellular	1.2674	3
H0WFA5	Cytoplasm	Q96BU1	Nucleus	0.9232	1
H0WFA5	Cytoplasm	Q86VQ0	Cytoplasm	0.9423	2
H0WFA5	Cytoplasm	Q49A88	Cytoplasm	0.9514	3
H2L045	Cell.membrane	Q21441	Cytoplasm	0.7471	1
H2L045	Cell.membrane	Q24145	Cytoplasm	0.8447	2
H2L045	Cell.membrane	Q9W1A4	Cytoplasm	0.8551	3
I6M4H4	Extracellular	Q9UGT4	Cell.membrane	0.7620	1
I6M4H4	Extracellular	Q62178	Cell.membrane	0.7650	2
I6M4H4	Extracellular	Q6ZMM2	Extracellular	0.7906	3
J4KLP6	Lysosome/Vacuole	D4ALG0	Extracellular	1.3940	1
J4KLP6	Lysosome/Vacuole	Q8T0W2	Extracellular	1.4539	2
J4KLP6	Lysosome/Vacuole	Q9P403	Extracellular	1.5203	3
K7NAJ3	Cytoplasm	Q4W815	Cell.membrane	0.6786	1
K7NAJ3	Cytoplasm	P15260	Cell.membrane	0.7029	2
K7NAJ3	Cytoplasm	P09581	Cell.membrane	0.7706	3
K9NVA6	Nucleus	O14455	Cytoplasm	1.5856	1
K9NVA6	Nucleus	P05745	Cytoplasm	1.5965	2
K9NVA6	Nucleus	Q02539	Nucleus	1.5967	3
M0R2J8	Cytoplasm	Q5JTW2	Cytoplasm	0.9454	1
M0R2J8	Cytoplasm	Q9Y238	Cytoplasm	0.9988	2
M0R2J8	Cytoplasm	Q60680	Cytoplasm	1.0200	3
M1V4Y8	Cytoplasm	Q7XJ96	Cytoplasm	0.8498	1
M1V4Y8	Cytoplasm	A8JF70	Cytoplasm	0.8514	2
M1V4Y8	Cytoplasm	Q502W7	Cytoplasm	0.8964	3
M4BMH6	Extracellular	P58806	Extracellular	1.6775	1
M4BMH6	Extracellular	Q9VMR8	Extracellular	1.6944	2
M4BMH6	Extracellular	Q9NR28	Mitochondrion	1.7019	3
M4C4U1	Extracellular	P58806	Extracellular	1.5926	1
M4C4U1	Extracellular	Q9VMR8	Extracellular	1.6251	2
M4C4U1	Extracellular	Q9UT31	Mitochondrion	1.6323	3
M9NE38	Cytoplasm	A1Z6W3	Cell.membrane	0.9493	1
M9NE38	Cytoplasm	P98081	Cytoplasm	1.0309	2
M9NE38	Cytoplasm	Q04652	Cytoplasm	1.0494	3
N4VG36	Extracellular	Q5ATP7	Extracellular	0.9732	1
N4VG36	Extracellular	D4B0F8	Extracellular	0.9837	2
N4VG36	Extracellular	A2QEQ6	Extracellular	1.0131	3
O01477	Cytoplasm	O13329	Nucleus	1.1146	1
O01477	Cytoplasm	Q9VL52	Cytoplasm	1.1337	2
O01477	Cytoplasm	O44406	Cytoplasm	1.1414	3
O04023	Endoplasmic.reticulum	Q9ZNQ8	Cell.membrane	1.2043	1
O04023	Endoplasmic.reticulum	Q9LV48	Cell.membrane	1.2346	2
O04023	Endoplasmic.reticulum	Q9SHZ6	Nucleus	1.3124	3
O08589	Cell.membrane	C0HJJ0	Cell.membrane	0.6767	1
O08589	Cell.membrane	Q7T0Z7	Endoplasmic.reticulum	0.9875	2
O08589	Cell.membrane	P30273	Cell.membrane	0.9969	3
O08692	Extracellular	P01037	Extracellular	0.9264	1
O08692	Extracellular	P09228	Extracellular	0.9436	2
O08692	Extracellular	Q6T6T4	Extracellular	0.9760	3
O09161	Endoplasmic.reticulum	Q9D1Q6	Endoplasmic.reticulum	0.8064	1
O09161	Endoplasmic.reticulum	Q96JJ7	Endoplasmic.reticulum	0.8117	2
O09161	Endoplasmic.reticulum	Q96DN0	Endoplasmic.reticulum	0.9681	3
O13734	Nucleus	O14079	Nucleus	0.9192	1
O13734	Nucleus	Q10218	Cytoplasm	0.9636	2
O13734	Nucleus	Q9USR9	Nucleus	1.0113	3
O13858	Cell.membrane	Q05518	Cell.membrane	1.0886	1
O13858	Cell.membrane	Q04279	Cell.membrane	1.1306	2
O13858	Cell.membrane	O94274	Cytoplasm	1.1801	3
O14684	Cytoplasm	O76062	Endoplasmic.reticulum	0.9305	1
O14684	Cytoplasm	Q71KT5	Endoplasmic.reticulum	0.9316	2
O14684	Cytoplasm	Q8WMV1	Endoplasmic.reticulum	0.9345	3
O15318	Nucleus	O48713	Nucleus	1.1490	1
O15318	Nucleus	Q8TBF4	Nucleus	1.1586	2
O15318	Nucleus	P58501	Nucleus	1.2191	3
O17389	Cytoplasm	O76041-2	Cytoplasm	2.0292	1
O17389	Cytoplasm	Q99MZ8	Cytoplasm	2.0694	2
O17389	Cytoplasm	Q9NPA8	Nucleus	2.1002	3
O17862	Nucleus	Q8SYK5	Nucleus	0.8768	1
O17862	Nucleus	Q9VQD6	Nucleus	0.9072	2
O17862	Nucleus	P92189	Nucleus	0.9121	3
O35054	Cell.membrane	Q4KL25	Cell.membrane	0.6178	1
O35054	Cell.membrane	Q8VHW8	Cell.membrane	0.6611	2
O35054	Cell.membrane	P58418	Cell.membrane	0.8755	3
O35298	Extracellular	Q765H6	Golgi.apparatus	0.7277	1
O35298	Extracellular	Q9UGT4	Cell.membrane	0.7922	2
O35298	Extracellular	Q53F39	Golgi.apparatus	0.7960	3
O35658	Mitochondrion	Q9NWR8	Mitochondrion	0.9825	1
O35658	Mitochondrion	Q3UMR5	Mitochondrion	1.0468	2
O35658	Mitochondrion	Q8NE86	Mitochondrion	1.0623	3
O44548	Nucleus	P35187	Nucleus	0.9743	1
O44548	Nucleus	Q9V3I5	Nucleus	0.9759	2
O44548	Nucleus	Q96TL7	Nucleus	0.9927	3
O45348	Extracellular	P86954	Extracellular	1.0145	1
O45348	Extracellular	H2A0L2	Extracellular	1.0445	2
O45348	Extracellular	D2X5V5	Extracellular	1.0914	3
O45599	Extracellular	Q868Z9	Extracellular	0.9035	1
O45599	Extracellular	Q93243	Extracellular	1.0387	2
O45599	Extracellular	P90920	Cell.membrane	1.1427	3
O45717	Nucleus	Q9ZSZ8	Nucleus	0.9691	1
O45717	Nucleus	P34537	Nucleus	1.0130	2
O45717	Nucleus	P91124	Cytoplasm	1.0285	3
O55159	Cell.membrane	Q9WVT0	Cell.membrane	0.7427	1
O55159	Cell.membrane	C6KFA3	Cell.membrane	0.7837	2
O55159	Cell.membrane	P16234	Cell.membrane	0.8081	3
O60240	Endoplasmic.reticulum	Q8IUH8	Endoplasmic.reticulum	1.0222	1
O60240	Endoplasmic.reticulum	Q80VJ8	Nucleus	1.0401	2
O60240	Endoplasmic.reticulum	Q7L4E1	Mitochondrion	1.0645	3
O60749	Cell.membrane	Q9UHR4	Cytoplasm	0.6283	1
O60749	Cell.membrane	Q9Y3P9	Cytoplasm	0.6694	2
O60749	Cell.membrane	Q96JA3	Golgi.apparatus	0.6877	3
O74346	Extracellular	P41809	Cell.membrane	1.1122	1
O74346	Extracellular	P40954	Extracellular	1.2357	2
O74346	Extracellular	Q05777	Cell.membrane	1.3623	3
O74562	Cytoplasm	Q9UST3	Golgi.apparatus	0.7925	1
O74562	Cytoplasm	Q9LXX6	Cytoplasm	0.8039	2
O74562	Cytoplasm	Q9VJD3	Golgi.apparatus	0.8218	3
O75031	Nucleus	Q8VD46	Cytoplasm	0.7373	1
O75031	Nucleus	Q60680	Cytoplasm	0.7417	2
O75031	Nucleus	Q9H257	Cytoplasm	0.7671	3
O75154	Cytoplasm	A0JNT9	Cytoplasm	0.7206	1
O75154	Cytoplasm	Q8VHQ2	Cytoplasm	0.7584	2
O75154	Cytoplasm	Q91YU6	Cytoplasm	0.7627	3
O76878	Lysosome/Vacuole	Q9ZSZ8	Nucleus	0.7869	1
O76878	Lysosome/Vacuole	Q8GYX3	Cytoplasm	0.7969	2
O76878	Lysosome/Vacuole	Q5M775-3	Nucleus	0.8173	3
O76908	Nucleus	O94328	Nucleus	1.1594	1
O76908	Nucleus	U4PR86	Cytoplasm	1.1873	2
O76908	Nucleus	Q06834	Cytoplasm	1.1994	3
O77257	Extracellular	P15703	Extracellular	1.3927	1
O77257	Extracellular	Q06991	Cell.membrane	1.3996	2
O77257	Extracellular	P53835	Cell.membrane	1.4134	3
O80460	Extracellular	O24567	Extracellular	0.9128	1
O80460	Extracellular	O24565	Extracellular	0.9385	2
O80460	Extracellular	Q8LAD7	Extracellular	0.9603	3
O88778	Cytoplasm	A2AQ25	Cytoplasm	0.9991	1
O88778	Cytoplasm	Q7Z591	Nucleus	1.0147	2
O88778	Cytoplasm	Q9ULL8	Cytoplasm	1.0201	3
O94669	Cytoplasm	O76922	Cytoplasm	0.9954	1
O94669	Cytoplasm	O13790	Cytoplasm	1.0120	2
O94669	Cytoplasm	P31412	Lysosome/Vacuole	1.0135	3
O95295	Cytoplasm	Q6QNY1	Cytoplasm	0.6732	1
O95295	Cytoplasm	Q6P1K2	Nucleus	0.8014	2
O95295	Cytoplasm	Q96EV8-2	Cytoplasm	0.8133	3
O95900	Mitochondrion	Q9BT17	Mitochondrion	0.9475	1
O95900	Mitochondrion	Q969S2	Nucleus	0.9520	2
O95900	Mitochondrion	Q96CB9	Mitochondrion	0.9539	3
O95971	Cell.membrane	P15530	Cell.membrane	0.8022	1
O95971	Cell.membrane	Q7TSN2	Cell.membrane	0.8435	2
O95971	Cell.membrane	Q8VCH2	Cell.membrane	0.8631	3
P01161	Extracellular	Q4QXT8	Extracellular	0.7723	1
P01161	Extracellular	Q1HA14	Extracellular	0.8118	2
P01161	Extracellular	P61366	Extracellular	0.8654	3
