1pugC00,3.30.1310.10
5nnbA00,3.50.30.50
2whtB00,2.40.155.10
2vdhG02,3.20.20.110
5f7iA00,3.70.10.10
5i5eA01,3.40.50.970
6mgjG02,2.130.10.10
3e3xA03,2.40.50.250
1w7tC00,2.40.155.10
4ajtA01,3.30.497.10
1txnB00,3.40.1500.10
3q6aG00,3.30.530.20
3vc7A00,3.40.50.720
1k6yB02,3.30.420.10
3a52A02,1.10.60.40
3nivB02,1.20.1050.10
4h3sA01,3.40.50.620
2zzeA04,3.30.980.10
4bckC02,1.10.510.10
5hd6F00,3.10.129.10
1djeA01,3.90.1150.10
3sqnA03,1.10.1790.30
3epuB01,6.10.250.740
1yycA02,2.60.40.1820
3ag1I00,4.10.93.10
3qibD01,2.60.40.10
4czeA01,3.30.420.40
2r7kA02,3.30.470.20
3kztA00,3.10.450.50
1td5B00,3.30.450.40
3n24A00,1.20.120.880
4nehA03,2.60.40.1460
3oxaD00,3.10.450.50
5mz5A02,3.40.309.10
2lopA00,1.10.10.1740
2ppoA00,3.10.50.40
3cdkC01,3.40.1080.10
5fdaA00,3.40.430.10
4jhdA01,3.30.420.40
4dgnA02,3.30.200.20
3qkbE00,3.30.110.70
3e5aA02,1.10.510.10
1we5A02,3.20.20.80
5f3mA00,3.30.1130.10
1j31D00,3.60.110.10
1sg1X01,2.10.50.10
5cusL01,2.60.40.10
1bu6O01,3.30.420.40
4eooA02,1.10.510.10
3m0dC00,1.20.5.110
3bp9E00,1.10.375.10
3ilmB00,3.40.250.10
2dohX00,2.40.20.10
1kpsB00,1.25.40.200
1etwA00,1.10.10.60
2b3zD01,3.40.140.10
4e6dB02,1.10.510.10
3qqmB01,3.30.470.10
5uhtB00,3.40.50.2300
4w6zA02,3.40.50.720
5x68A00,3.50.50.60
6i8mA02,3.90.228.10
1gxrA00,2.130.10.10
2if2B00,3.40.50.300
1g8aA01,3.30.200.20
2hddB00,1.10.10.60
4y6cA00,1.25.40.10
3hmwH01,2.60.40.10
5jcuC02,1.20.1050.10
1yltA00,3.40.710.10
3ez0D00,1.20.1260.10
3aljA02,3.30.9.10
3i3uB00,3.40.250.10
3kizA01,3.30.1330.10
2b1yA00,4.10.1210.10
1q3gK02,3.65.10.10
4na3A01,3.40.47.10
2fpeD00,2.30.30.40
1jw0A00,1.10.439.10
5f9fA04,2.170.150.30
2q6pA00,2.40.155.10
3etfB02,3.40.309.10
4ihuA00,3.40.30.10
4iwmC01,3.40.1390.30
4o38B01,3.30.200.20
5ue3B00,3.40.390.10
1om2A00,1.20.960.10
3sjlE00,2.60.30.10
3b0xA03,3.30.460.10
3urzB00,1.25.40.10
2cdqA01,3.40.1160.10
3u74U01,2.10.60.10
1ygsA00,2.60.200.10
4d5pA00,2.70.100.10
3r8qA01,2.60.40.10
2cb1A01,3.40.640.10
3n40F01,2.60.98.10
4hehA01,1.10.1240.10
1jz0E05,2.70.98.10
3c1lL02,1.20.1290.10
1t0aC00,3.30.1330.50
2xetB00,2.60.40.2070
1bruP02,2.40.10.10
1wmdA01,3.40.50.200
1k0oB02,1.20.1050.10
3h1iI00,2.10.210.10
3m1wA00,3.10.200.10
4ix1E00,3.40.50.12500
4g8zX00,3.40.430.10
5tjgE00,3.90.940.10
6h9vB02,2.40.30.120
1wsrA04,2.40.30.110
3e58B01,3.40.50.1000
1b9hA01,3.40.640.10
4iyhC00,1.10.287.850
4omfG01,3.40.50.700
5fajD02,3.20.20.10
3m6aA03,1.10.8.60
3ml1A02,3.40.50.740
3dckA00,2.40.70.10
1re8A02,3.30.200.20
5h23A02,2.40.10.10
2b5uA03,3.10.380.10
2ri0A00,3.40.50.1360
2uz1A01,3.40.50.970
1vk3A01,3.90.650.10
2rqkA00,3.30.70.260
4w82A01,3.90.180.10
3fb2A02,1.20.58.60
1vzvA00,3.20.16.10
3wmqA00,2.60.40.2080
5exvC00,3.40.1570.10
5onfA00,1.25.40.90
4b0iE00,3.10.129.10
6oi7A01,1.10.3210.10
1smvC00,2.60.120.20
3fjcA00,2.80.10.50
3e7nD01,3.40.1650.10
4msxA01,3.30.40.10
1gv0A01,3.40.50.720
3cjyA00,2.40.160.210
2ytcA01,3.30.70.330
3qozA00,2.40.70.10
5yqgD00,1.20.190.20
2odmB00,1.10.287.750
1gf4A00,1.10.530.10
3j7aO00,1.10.10.10
5xrqB01,2.60.40.10
5uraB00,2.40.128.20
1wi1A01,2.30.29.30
2csiA00,2.30.30.40
4q3lB00,3.40.50.1820
2fncA01,3.40.190.10
5lf2A03,2.10.25.10
3bpdF01,3.30.70.1340
3rk2C00,1.20.5.110
3unbJ00,3.60.20.10
3a8pA02,6.10.140.680
4e57A03,2.30.120.10
3drqB01,2.60.40.10
3hjvA01,3.40.366.10
4dx1B00,1.25.40.20
1yjmA00,2.60.200.20
2az4A02,3.40.50.10710
2pl0A01,3.30.200.20
5yotA03,2.60.40.10
5ibrC00,3.40.50.1460
6iccA01,2.30.42.10
2e5hA01,3.30.70.330
4bkmA02,3.40.50.1000
2wvxA02,3.30.2080.10
2v0nA02,3.40.50.2300
4r0vA02,3.40.950.10
4ibxA00,3.40.710.10
1y7hF00,3.40.50.1820
5czuA00,1.20.1260.10
6bckH01,2.60.40.10
3kerA00,3.30.429.10
1k5oA00,1.10.150.220
1v3iA00,3.20.20.80
2fexC00,3.40.50.880
3tpcA00,3.40.50.720
2lydA00,2.30.29.30
4paaA04,3.30.70.1400
1jx7E00,3.40.1260.10
2a5dB00,3.90.210.10
2ph4A00,1.20.90.10
2zgjA02,2.40.10.10
1qhaA04,3.40.367.20
2r2jA01,3.40.30.10
4c6qA00,3.20.20.140
2ot9A01,3.10.640.10
4qtdA02,1.10.510.10
2r3hA01,3.30.200.20
2m00A00,2.40.50.90
2wvxA03,1.20.1050.60
4ge7B02,3.40.640.10
4pufA01,3.80.10.10
2vpdC00,3.30.40.10
4p4mA01,1.10.150.20
3zluB00,3.40.50.1820
3f9sB00,3.10.450.50
4bfaA01,3.20.20.70
4h51B02,3.40.640.10
1bk6A00,1.25.10.10
2yesB00,3.90.550.10
6ejhA00,1.10.3430.10
2qgvC00,3.40.30.10
3gh2X00,3.30.572.10
2jkeA02,3.20.20.70
3lizH01,2.60.40.10
3n53B00,3.40.50.2300
3tmpB00,3.10.20.90
4ijiC01,3.40.30.10
4a1yA00,2.40.128.20
4p0cA00,2.30.42.10
6bdlB01,1.10.510.10
4h7aA00,1.10.520.40
2wskA02,3.20.20.80
1hi8B03,3.30.70.1600
3a3dA02,3.50.80.20
1zrtE02,2.102.10.10
6e0bA00,3.20.20.70
1oqhA02,3.40.190.10
4m0gA02,1.10.300.10
5uwbB00,3.10.450.710
2lf0A02,3.30.1370.150
5zkaB00,3.20.20.70
3bbjB00,2.40.160.210
5bwaB00,3.40.630.60
3lhxA00,3.40.1190.20
4pdpB01,3.30.200.20
2vzsA04,2.60.40.10
2woeA00,1.10.4080.10
3r23B03,3.30.1490.20
4d2dA00,1.20.1250.20
5hanB02,3.20.20.110
3p9rD03,3.40.50.880
2js0A00,2.30.30.40
3d73A00,1.10.238.20
4jvuA00,2.60.40.10
2ecfA02,3.40.50.1820
2lpbA00,1.10.287.2920
3duhC00,1.20.1250.10
5br4A02,1.20.1090.10
3tbfC01,3.40.50.10490
3foaB01,3.40.50.11780
1f7lA00,3.90.470.20
6mrtA00,1.20.1170.10
2ia9E00,3.30.1120.40
1lwuC03,1.20.5.50
1gq2F01,3.40.50.10380
1gzdA01,3.40.50.10490
3lxuX03,6.10.250.3080
1sh5A02,1.10.418.10
3tvtA03,3.30.63.10
5wqjB02,3.40.250.10
1vluA02,3.40.309.10
2rohA01,1.10.246.220
3dc7A00,3.40.50.1110
1ov3A01,2.30.30.40
4gkiC01,3.30.200.20
5dteA02,3.40.50.2300
5msiA00,3.90.1210.10
5fbmA00,4.10.520.10
3g36A00,1.20.890.10
3hf9t00,3.60.20.10
3jqoQ00,2.60.40.2500
4bf9A02,1.20.225.30
4xq2H01,3.40.640.10
2omxA01,3.80.10.10
3cnhA01,3.40.50.1000
3d06A00,2.60.40.720
5yc6U02,2.40.10.10
2wlnA02,2.60.40.1400
3no1F01,3.30.390.10
1w53A00,1.10.1240.30
2bogX00,3.20.20.40
5ipjA01,3.30.200.20
1tuoA02,3.40.120.10
1wp1A01,1.20.1600.10
4m1gA00,3.10.100.10
5hzuA00,2.40.155.10
1twfA03,2.40.40.20
3gwpB02,3.40.640.10
2x33C02,3.20.70.20
3qrvA01,2.40.70.10
1oywA01,3.40.50.300
3gj2A00,2.40.155.10
5b66j00,6.10.250.2070
1v1mA00,3.40.50.970
2pbcA00,3.10.50.40
3evfA00,3.40.50.150
3n2cC02,3.20.20.140
4n20A03,3.75.10.10
3ferD01,1.10.418.10
5utxA02,3.50.50.60
5kzhB00,3.40.710.10
2qjyB02,1.20.5.100
1bcpC02,2.40.50.110
4ye0A00,2.60.40.790
2ov9A01,3.10.129.10
3kh5A02,3.10.580.10
2rirH02,3.40.50.720
3s5sA01,3.30.390.10
1lunA00,3.30.505.10
4geoA01,3.30.200.20
1v1kA01,3.30.200.20
1vaeA00,2.30.42.10
6nvaB00,3.20.20.70
3g2nA02,3.40.50.2000
2r5kA00,2.60.175.20
4ic1F00,3.90.320.10
5l2qB02,1.10.510.10
3gpdG02,3.30.360.10
3c07A00,1.10.357.10
1lf1A00,3.20.20.80
4zl6D00,1.20.1260.10
4is7A01,1.10.150.50
2v67I00,3.30.190.10
2pi1C01,3.40.50.720
2i5kA02,2.160.10.10
2z61A02,3.40.640.10
4j1uA01,2.60.40.10
4ddqA03,1.10.268.10
3m6cA00,3.50.7.10
3l4eA00,3.40.50.880
3u1uA01,3.90.70.200
2ho4B01,3.40.50.1000
1q16A10,1.20.1700.20
2pswB00,3.40.630.30
5xogC01,3.30.1360.10
4y4rA03,3.90.930.40
3s4tH00,3.20.20.140
3wj7A00,3.40.50.720
1ovtA01,3.40.190.10
6fb0B00,3.10.28.10
3oqoA03,3.40.50.2300
5eoyB03,3.30.420.40
3aesB03,1.20.89.20
3bs5A00,1.10.150.50
2o3oA02,3.30.310.160
1fdoA05,1.20.5.460
3dc0A02,2.60.40.1180
2p24B02,2.60.40.10
1u16A02,1.20.200.10
2okrD01,3.30.200.20
1visA01,3.30.230.10
3fhnB04,1.20.58.670
6f8hC00,1.10.260.40
1gpbA01,3.40.50.2000
2virC01,2.10.77.10
4txrA00,1.25.40.270
5ingA01,3.90.226.10
5kr6A02,3.40.640.10
2cjgA02,3.40.640.10
2pnwA02,2.40.240.50
3ioqA00,3.90.70.10
4a9aA02,3.40.50.300
4qdcA01,2.102.10.10
4zjiD02,1.10.510.10
3g8aA00,3.40.50.150
2m4eA00,1.20.120.1930
1bq5A01,2.60.40.420
3topA03,3.20.20.80
3dclC01,2.102.30.10
4luyA02,3.20.20.10
3iupB01,3.90.180.10
1q2bA00,2.70.100.10
2e7zA03,3.40.228.10
3hq1B02,1.10.287.1400
5dm7R00,2.30.30.30
2dx0B01,3.30.505.10
4h14A00,2.60.120.960
3djbA01,1.10.472.50
2d3yA00,3.40.470.10
2hioD00,1.10.20.10
3gi3A02,1.10.510.10
1ejiA02,3.40.640.10
2xs2A00,3.30.70.330
4eclD01,2.40.37.10
4qpnA00,3.40.50.150
1p6yA00,1.10.530.40
3r6zA02,3.90.1200.10
4ybmA02,1.20.920.10
6aidA00,3.40.50.1820
4gkiE02,3.90.1200.10
2yj7A00,3.40.30.10
5fjkA01,2.60.120.650
1m9zA00,2.10.60.10
4fzqA00,2.20.230.10
3lm6A00,3.40.47.40
3eyaH01,3.40.50.970
5czrA02,2.60.40.60
1uj8A00,1.10.10.600
1gfgA00,1.10.530.10
2d1cA02,3.30.70.1570
2dg0K00,2.120.10.30
4oylB00,3.40.50.1820
3t05A04,3.50.30.10
2cz2A01,3.40.30.10
2rcyD02,1.10.3730.10
3nzyB02,2.10.50.10
3qujC03,1.20.58.90
4h7kA00,3.40.50.1820
2f7lA02,3.40.120.10
2d8nA01,1.10.238.10
1r8pA00,3.30.70.330
4g56B00,2.130.10.10
3pveA00,2.60.120.200
2h4oA00,6.20.120.10
2egbA02,3.30.950.10
1m9uA02,2.40.10.10
3mcaB03,3.30.1330.30
6bz1D01,3.40.1810.10
5ja9B00,2.60.40.10
3dxvB02,3.40.640.10
4gg1A01,3.40.50.970
2a55A01,2.10.70.10
2rfpA00,1.10.3420.10
1hzaA00,2.40.50.140
5uckB00,3.20.20.70
2wdtB00,3.10.20.90
1i3cB00,3.40.50.2300
2grcA00,1.20.920.10
4h9jA02,2.30.140.40
1fieA04,2.60.40.10
1zc3A00,3.40.50.300
1yloA02,2.40.30.40
4l1nA00,2.40.128.660
3f5pD02,1.10.510.10
1p9pA02,1.10.1270.20
5qahA00,3.40.710.10
6gpkA02,3.90.25.10
2igsE00,1.10.3690.10
2aklA02,2.30.30.40
5h6fA00,3.40.50.1470
5g1xA02,1.10.510.10
2q30A01,2.60.120.10
2jeoA00,3.40.50.300
4jfxH01,2.60.40.10
2dm7A01,2.60.40.10
4yknA05,2.60.40.150
5ob5L01,2.60.40.10
5yvrA01,3.40.50.1970
4kc7A02,2.40.128.10
5ngtA00,3.90.79.10
2fp3A01,3.40.50.1460
1mh7A00,1.20.90.10
3drqB02,2.60.40.10
2fm1B01,3.40.640.10
2joeA01,3.30.1830.10
3p95A01,2.40.10.10
3svkA02,3.40.47.10
2hn1A01,3.30.460.20
4hn9B03,3.40.50.1980
5d8rA00,1.20.1260.10
3v90A00,3.90.550.10
4htlA02,3.30.420.40
2zwaA01,3.40.50.150
4wafA05,1.10.1070.11
3exvA00,2.60.90.10
5g41A00,3.40.50.300
1x65A01,2.40.50.140
3mdpA00,2.60.120.10
2abqA00,3.40.1190.20
1ou5A01,3.30.460.10
5k3qD00,3.30.160.60
1whbA01,3.40.250.10
4nb8A01,3.90.380.10
3l9fA02,6.10.140.1570
2xczA00,3.30.429.10
5tq6B02,1.10.510.10
5a0oB00,3.10.450.10
5f8vC01,3.40.640.10
1t6hA00,1.10.530.40
2raiB02,3.30.1520.10
5zv7A01,2.40.510.10
3c0bC01,3.30.420.40
3v89B01,3.40.190.10
4bcjA02,1.10.510.10
7msiA00,3.90.1210.10
4gqyB00,3.10.580.10
1vsqA00,3.40.50.510
3wo2B00,2.80.10.50
4lgsB00,2.60.40.10
2o6xA00,3.90.70.10
3qmnP00,3.90.470.20
2v7qI00,1.10.1620.20
2vwkA01,3.30.342.10
5eumB00,3.40.50.300
4efpB02,2.80.10.50
2vl2B00,3.40.30.10
5mj6A02,1.10.390.10
5z62J00,4.10.91.10
3nz2A00,2.160.10.10
5kovE02,2.60.40.10
2wmgA01,3.20.20.80
3lrqB00,3.30.40.10
3zgjA02,3.10.180.10
4jxmA00,2.130.10.10
1h3gA03,2.60.40.1180
4dkdB00,1.20.1250.80
4wp6A00,3.80.10.10
3inaA01,2.60.120.200
1o60C00,3.20.20.70
1ay1L01,2.60.40.10
2e5yA01,2.60.15.10
5fuzL01,2.60.40.10
5lvmA02,1.10.510.10
1f9wA00,3.40.850.10
3difB01,2.60.40.10
5tqhA00,3.40.718.10
1vcgB00,3.20.20.70
3qo6A03,2.30.42.10
3p2nB02,2.115.10.20
5z5cA02,3.40.50.1100
3gd3B01,3.50.50.60
5zhhA02,3.40.190.80
3eo8A00,3.40.109.10
3ia7B01,3.40.50.2000
5uloB00,1.20.190.20
3kztB00,3.10.450.50
4fcvC02,1.10.8.60
2jmwA01,1.10.10.60
2cduA03,3.30.390.30
2ywaA00,1.20.120.330
2we9B00,3.90.550.10
3zgzA04,1.10.730.10
1s5pA02,3.30.1600.10
2p5sB00,3.40.50.300
3jqfC00,3.40.50.720
2bgoA00,2.60.120.260
5bxrA03,2.80.10.50
1vjrA02,3.40.50.1000
1rtwD00,1.20.910.10
4u0hC00,3.90.226.10
4pjeF01,2.60.40.10
4w9gF01,2.60.40.780
3gh1D01,3.30.1850.10
3t1tB00,3.40.50.300
3whdA00,3.10.100.10
5j6bA01,3.40.605.10
1kdoA00,3.40.50.300
1ivnA00,3.40.50.1110
5dd3L01,2.60.40.10
6cwuA00,3.90.190.10
1xhaA02,3.30.200.20
2yngB03,3.30.70.270
4hh2D03,3.30.450.20
3otaT00,3.90.470.20
4jehA01,3.40.50.2060
4gzeD00,3.20.20.80
2eg8A00,3.20.20.140
3c75M00,2.60.30.10
3nfgL00,6.20.250.70
2z5sM00,1.10.245.10
1vx2I02,3.10.290.70
2pq0A02,3.30.1240.10
4mlcA02,3.40.50.2300
1w36F01,3.40.50.10930
5hrbA02,3.30.210.10
1rmu100,2.60.120.20
2cn2C01,2.130.10.10
5v5nA02,1.10.510.10
2q04B00,3.40.630.30
1h28C02,1.10.510.10
3r09A01,3.40.50.1000
4ahbB00,2.120.10.70
5e7qB02,3.30.300.30
3f3pJ01,2.130.10.10
1bc9A01,1.10.220.20
1c5dA01,2.60.40.10
2kl4A00,3.90.1150.200
3hu2A01,2.40.40.20
3mqmA00,1.20.920.10
3njaB01,3.30.450.20
1v99C00,3.30.70.120
6dcbA00,3.40.50.150
